problem,submission_id,location,type
gigel-si-raspandirea-vestilor,1314235077,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314235077.java,source_file
gigel-si-raspandirea-vestilor,1314235077,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314235077.java,source_file
gigel-si-raspandirea-vestilor,1408552368,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1408552368.cpp,source_file
gigel-si-raspandirea-vestilor,1408552368,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1408552368.cpp,source_file
gigel-si-raspandirea-vestilor,1314236879,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314236879.java,source_file
gigel-si-raspandirea-vestilor,1314236879,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314236879.java,source_file
gigel-si-raspandirea-vestilor,1391934839,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1391934839.cpp,source_file
gigel-si-raspandirea-vestilor,1391934839,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1391934839.cpp,source_file
gigel-si-raspandirea-vestilor,1314234554,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314234554.java,source_file
gigel-si-raspandirea-vestilor,1314234554,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314234554.java,source_file
gigel-si-raspandirea-vestilor,1314236545,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314236545.java,source_file
gigel-si-raspandirea-vestilor,1314236545,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314236545.java,source_file
gigel-si-raspandirea-vestilor,1408593126,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1408593126.cpp,source_file
gigel-si-raspandirea-vestilor,1408593126,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1408593126.cpp,source_file
gigel-si-raspandirea-vestilor,1344637828,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1344637828.cpp,source_file
gigel-si-raspandirea-vestilor,1344637828,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1344637828.cpp,source_file
gigel-si-raspandirea-vestilor,1314235245,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314235245.java,source_file
gigel-si-raspandirea-vestilor,1314235245,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314235245.java,source_file
gigel-si-raspandirea-vestilor,1314235821,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314235821.cpp,source_file
gigel-si-raspandirea-vestilor,1314235821,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1314235821.cpp,source_file
gigel-si-raspandirea-vestilor,1314236886,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314236886.java,source_file
gigel-si-raspandirea-vestilor,1314236886,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314236886.java,source_file
gigel-si-raspandirea-vestilor,1314237348,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314237348.java,source_file
gigel-si-raspandirea-vestilor,1314237348,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314237348.java,source_file
gigel-si-raspandirea-vestilor,1314235533,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314235533.cpp,source_file
gigel-si-raspandirea-vestilor,1314235533,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1314235533.cpp,source_file
gigel-si-raspandirea-vestilor,1314237740,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314237740.java,source_file
gigel-si-raspandirea-vestilor,1314237740,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314237740.java,source_file
gigel-si-raspandirea-vestilor,1314234537,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314234537.java,source_file
gigel-si-raspandirea-vestilor,1314234537,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314234537.java,source_file
gigel-si-raspandirea-vestilor,1314237310,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314237310.java,source_file
gigel-si-raspandirea-vestilor,1314237310,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314237310.java,source_file
gigel-si-raspandirea-vestilor,1408491609,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1408491609.java,source_file
gigel-si-raspandirea-vestilor,1408491609,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1408491609.java,source_file
gigel-si-raspandirea-vestilor,1314235457,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314235457.java,source_file
gigel-si-raspandirea-vestilor,1314235457,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314235457.java,source_file
gigel-si-raspandirea-vestilor,1408569325,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1408569325.cpp,source_file
