file,user_id,attempt_number,submission_id,language,original_language,result,score,timestamp,code_length,code_lines,uses_sort,uses_hash,source_path
1323398262.java,user_0212,1,1323398262,java,java8,Terminated due ...,3.13,520094,2229,99,True,False,gigel-si-sosetele/submissions/1323398262.java
1323398364.java,user_0212,3,1323398364,java,java8,Terminated due ...,3.13,520100,1870,79,True,False,gigel-si-sosetele/submissions/1323398364.java
1323398894.java,user_0212,4,1323398894,java,java8,Wrong Answer,11.46,520127,2663,103,True,True,gigel-si-sosetele/submissions/1323398894.java
1323398992.java,user_0212,5,1323398992,java,java8,Accepted,50.0,520130,2667,103,True,True,gigel-si-sosetele/submissions/1323398992.java
1314237072.java,user_0213,1,1314237072,java,java8,Wrong Answer,2.08,145,2467,96,False,True,gigel-si-sosetele/submissions/1314237072.java
1314237129.java,user_0213,2,1314237129,java,java8,Wrong Answer,2.08,148,2588,101,False,True,gigel-si-sosetele/submissions/1314237129.java
1314237277.java,user_0213,3,1314237277,java,java8,Wrong Answer,1.04,156,2354,93,False,True,gigel-si-sosetele/submissions/1314237277.java
1314236315.java,user_0214,3,1314236315,java,java8,Wrong Answer,11.46,99,3433,130,True,False,gigel-si-sosetele/submissions/1314236315.java
1314236505.java,user_0214,4,1314236505,java,java8,Wrong Answer,46.88,110,3855,139,True,False,gigel-si-sosetele/submissions/1314236505.java
1314236559.java,user_0214,5,1314236559,java,java8,Wrong Answer,47.92,114,4022,142,True,False,gigel-si-sosetele/submissions/1314236559.java
1314236678.java,user_0214,6,1314236678,java,java8,Accepted,50.0,121,4464,150,True,False,gigel-si-sosetele/submissions/1314236678.java
1332559507.cpp,user_0214,18,1332559507,cpp,cpp,Wrong Answer,47.92,1020867,1853,83,True,False,gigel-si-sosetele/submissions/1332559507.cpp
1332560420.cpp,user_0214,19,1332560420,cpp,cpp,Accepted,50.0,1020894,1920,86,True,False,gigel-si-sosetele/submissions/1332560420.cpp
1314235882.cpp,user_0215,1,1314235882,cpp,cpp,Wrong Answer,8.33,70,1149,60,False,True,gigel-si-sosetele/submissions/1314235882.cpp
1314236115.cpp,user_0215,5,1314236115,cpp,cpp,Wrong Answer,5.21,85,1160,60,False,True,gigel-si-sosetele/submissions/1314236115.cpp
1314236132.cpp,user_0215,6,1314236132,cpp,cpp,Wrong Answer,6.25,86,1190,61,False,True,gigel-si-sosetele/submissions/1314236132.cpp
1314236429.cpp,user_0215,7,1314236429,cpp,cpp,Wrong Answer,5.21,106,1435,67,False,True,gigel-si-sosetele/submissions/1314236429.cpp
1314236671.cpp,user_0215,8,1314236671,cpp,cpp,Wrong Answer,5.21,121,1594,72,False,True,gigel-si-sosetele/submissions/1314236671.cpp
1314236698.cpp,user_0215,9,1314236698,cpp,cpp,Wrong Answer,5.21,123,1609,72,False,True,gigel-si-sosetele/submissions/1314236698.cpp
1314236714.cpp,user_0215,10,1314236714,cpp,cpp,Wrong Answer,1.04,124,1592,72,False,True,gigel-si-sosetele/submissions/1314236714.cpp
1314236815.cpp,user_0215,12,1314236815,cpp,cpp,Wrong Answer,6.25,130,1626,72,False,True,gigel-si-sosetele/submissions/1314236815.cpp
1314236806.cpp,user_0215,13,1314236806,cpp,cpp,Wrong Answer,2.08,130,1637,72,False,True,gigel-si-sosetele/submissions/1314236806.cpp
